Rank,Title,RatingTomatometer,No_of_Reviews,Genres
76,The Gatekeepers,94,109,special_interest
77,Touching the Void,94,139,special_interest
78,Born Into Brothels,95,107,special_interest
79,Crumb,95,43,special_interest
80,I Am Divine,96,51,special_interest
81,Manakamana,96,48,special_interest
82,Deep Water,96,55,special_interest
83,The Last of the Unjust,96,47,special_interest
84,Cutie And The Boxer,95,73,special_interest
85,Brooklyn Castle,96,51,special_interest
86,Up the Yangtze,96,52,special_interest
87,Good Hair,95,83,special_interest
88,5 Broken Cameras,96,45,special_interest
89,National Gallery,95,64,special_interest
90,The Salt of the Earth,94,89,special_interest
91,Last Days in Vietnam,95,62,special_interest
92,Plagues & Pleasures on the Salton Sea,96,49,special_interest
93,Promises,96,47,special_interest
94,The Arbor,96,46,special_interest
95,The Endurance,95,65,special_interest
96,Eraserhead,91,56,special_interest
97,Los Angeles Plays Itself,96,45,special_interest
98,Super Size Me,92,170,special_interest
99,My Winnipeg,94,90,special_interest
100,The Story of the Weeping Camel,94,102,special_interest
1,Murderball,98,138,sports|fitness
2,Hoop Dreams,98,55,sports|fitness
3,When We Were Kings,98,47,sports|fitness
4,The King of Kong: A Fistful of Quarters,97,100,sports|fitness
5,Rocky,93,57,sports|fitness
6,Undefeated,96,100,sports|fitness
7,The Life and Times of Hank Greenberg,97,65,sports|fitness
8,Surfwise,98,44,sports|fitness
9,Touching the Void,94,139,sports|fitness
10,Red Army,94,96,sports|fitness
11,Battle of the Sexes,85,280,sports|fitness
12,The Fighter,90,241,sports|fitness
13,The Crash Reel,96,46,sports|fitness
14,Sugar,92,134,sports|fitness
15,The Damned United,92,136,sports|fitness
16,Boxing Gym,95,42,sports|fitness
17,Riding Giants,93,95,sports|fitness
18,Senna,92,118,sports|fitness
19,Dogtown and Z-Boys,92,95,sports|fitness
20,The Color of Money,89,46,sports|fitness
21,Tristram Shandy: A Cock & Bull Story,89,129,sports|fitness
22,Up for Grabs,92,48,sports|fitness
23,Hoosiers,88,43,sports|fitness
24,Field of Dreams,86,58,sports|fitness
25,Girlfight,87,95,sports|fitness
26,The Heart of the Game,87,99,sports|fitness
27,Tyson,85,143,sports|fitness
28,Chariots of Fire,83,65,sports|fitness
29,The Hurricane,83,113,sports|fitness
30,Looking for Eric,85,98,sports|fitness
31,The Armstrong Lie,82,116,sports|fitness
32,Major League,82,39,sports|fitness
33,Goon,82,104,sports|fitness
34,Beyond the Mat,82,66,sports|fitness
35,The Boxer,80,69,sports|fitness
36,Invictus,76,240,sports|fitness
37,Fed Up,81,68,sports|fitness
38,A League of Their Own,78,63,sports|fitness
39,Step Into Liquid,81,80,sports|fitness
40,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,81,59,sports|fitness
41,Stoked: The Rise and Fall of Gator,81,47,sports|fitness
42,Talladega Nights: The Ballad of Ricky Bobby,71,184,sports|fitness
43,Invincible,72,134,sports|fitness
44,Gunnin' for That #1 Spot,74,42,sports|fitness
45,Ultimate X: The Movie,74,47,sports|fitness
46,The Blind Side,66,200,sports|fitness
47,More Than a Game,71,51,sports|fitness
48,Secretariat,63,148,sports|fitness
49,Dust to Glory,60,68,sports|fitness
50,NASCAR: The IMAX Experience,61,44,sports|fitness
51,Glory Road,56,151,sports|fitness
52,The Sandlot,57,49,sports|fitness
53,Because of Winn-Dixie,55,121,sports|fitness
54,The Perfect Game,57,44,sports|fitness
55,Steep,54,48,sports|fitness
56,First Descent,52,64,sports|fitness
57,Soul Surfer,45,103,sports|fitness
58,Goal! The Dream Begins,43,82,sports|fitness
59,The Replacements,41,108,sports|fitness
60,Beerfest,40,107,sports|fitness
61,Grudge Match,30,136,sports|fitness
62,Jiminy Glick in Lalawood,22,45,sports|fitness
63,Playing for Keeps,5,88,sports|fitness
1,Life Itself,97,196,television
2,Afghan Star,100,60,television
3,49 Up,97,65,television
4,Room 237,94,128,television
5,Behind the Candelabra,95,101,television
6,A Film Unfinished,97,64,television
7,The Return,95,86,television
8,Being Elmo: A Puppeteer's Journey,95,78,television
9,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",95,62,television
10,Los Angeles Plays Itself,96,45,television
11,Lost in La Mancha,94,100,television
12,Best Worst Movie,95,64,television
13,Sing Your Song,95,40,television
14,American Movie,94,49,television
15,The Normal Heart,94,50,television
16,"Yoo-hoo, Mrs. Goldberg",93,68,television
17,The Kid Stays in the Picture,91,112,television
18,Side by Side,92,66,television
19,Joan Rivers: A Piece Of Work,91,105,television
20,F for Fake,88,50,television
21,Duel,88,41,television
22,Saraband,91,85,television
23,Corman's World: Exploits Of A Hollywood Rebel,92,50,television
24,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",91,43,television
25,Tell Them Who You Are,88,65,television
26,The Five Obstructions,88,60,television
27,Doctor Zhivago,82,45,television
28,This Film Is Not Yet Rated,84,116,television
29,Trekkies,86,42,television
30,Inside Deep Throat,83,120,television
31,Outfoxed: Rupert Murdoch's War on Journalism,85,60,television
32,Trumbo,83,54,television
33,Confirmation,82,44,television
34,Tupac: Resurrection,78,89,television
35,Overnight,78,77,television
36,Teacher's Pet,76,74,television
37,POM Wonderful Presents: The Greatest Movie Ever Sold,74,129,television
38,Fellini: I'm a Born Liar,73,40,television
39,My Date With Drew,71,65,television
40,Only Human,71,52,television
41,Waking Sleeping Beauty,70,50,television
42,Porn Star: The Legend of Ron Jeremy,69,49,television
43,The Rugrats Movie,59,49,television
44,I'm Still Here,53,128,television
45,No Strings Attached,49,167,television
46,Bamboozled,48,97,television
47,The Real Cancun,35,88,television
48,I Am,36,47,television
49,15 Minutes,32,124,television
50,Man of the Year,22,143,television
51,Pokemon 3: The Movie,21,56,television
52,The Honeymooners,13,111,television
53,From Justin To Kelly,10,63,television
1,The Treasure of the Sierra Madre,100,45,western
2,"The Good, the Bad and the Ugly",97,68,western
3,High Noon,96,50,western
4,The Searchers,100,42,western
5,Rio Bravo,100,40,western
6,Once Upon a Time in the West,98,58,western
7,True Grit,96,270,western
8,Unforgiven,96,96,western
9,A Fistful of Dollars,98,47,western
10,The Wild Bunch,94,54,western
11,The Ballad of Buster Scruggs,92,194,western
12,Johnny Guitar,95,44,western
13,Giant,95,40,western
14,Sweetgrass,97,60,western
15,The Man Who Shot Liberty Valance,93,43,western
16,Lone Star,94,47,western
17,Butch Cassidy and the Sundance Kid,90,48,western
18,3:10 to Yuma,89,218,western
19,Django Unchained,86,274,western
20,Blazing Saddles,90,52,western
21,True Grit,88,52,western
22,McCabe & Mrs. Miller,89,47,western
23,Bone Tomahawk,91,85,western
24,The Magnificent Seven,88,42,western
25,Near Dark,88,48,western
26,The Three Burials of Melquiades Estrada,85,145,western
27,Meek's Cutoff,86,126,western
28,The Proposition,85,124,western
29,Dances With Wolves,82,72,western
30,The Homesman,81,147,western
31,The Hateful Eight,74,308,western
32,"The Good, the Bad, the Weird",83,64,western
33,Open Range,79,183,western
34,Shanghai Noon,79,134,western
35,Appaloosa,76,161,western
36,The Assassination of Jesse James by the Coward Robert Ford,76,173,western
37,Hostiles,71,201,western
38,Red Hill,78,65,western
39,In a Valley of Violence,76,67,western
40,The Keeping Room,75,83,western
41,The Horse Whisperer,74,57,western
42,Blackthorn,75,73,western
43,Tombstone,73,45,western
44,Fah talai jone,74,62,western
45,The Magnificent Seven,63,289,western
46,The Salvation,72,78,western
47,Dead Man,70,50,western
48,The Rover,66,165,western
49,Maverick,66,53,western
50,The Claim,62,84,western
51,The Missing,58,173,western
52,Heaven's Gate,57,42,western
53,Legends of the Fall,56,55,western
54,The Quick and the Dead,57,40,western
55,Sukiyaki Western Django,56,54,western
56,The Killer Inside Me,54,127,western
57,Seraphim Falls,55,85,western
58,Ned Kelly,56,54,western
59,Down in the Valley,52,101,western
60,Cowboys & Aliens,45,249,western
61,Forsaken,43,44,western
62,Jane Got a Gun,41,80,western
63,Brimstone,41,71,western
64,A Million Ways to Die in the West,33,197,western
65,The Lone Ranger,31,235,western
66,The Alamo,29,158,western
67,The Warrior's Way,28,40,western
68,The Dark Tower,16,248,western
69,Wild Wild West,17,131,western
70,Priest,15,97,western
71,American Outlaws,14,103,western
72,September Dawn,15,54,western
73,Jonah Hex,12,147,western
74,Texas Rangers,2,51,western
