Rank,Title,RatingTomatometer,No_of_Reviews,Genres
66,God's Own Country,97,110,art_house|international
67,Afghan Star,100,60,art_house|international
68,A Prophet,97,153,art_house|international
69,Waltz with Bashir,96,148,art_house|international
70,Three Colors: Blue,98,43,art_house|international
71,Embrace Of The Serpent,96,139,art_house|international
72,After the Storm,96,127,art_house|international
73,About Elly,99,69,art_house|international
74,Fireworks Wednesday,100,43,art_house|international
75,Last Train Home,100,54,art_house|international
76,The Seventh Seal,93,55,art_house|international
77,Project Nim,97,141,art_house|international
78,Monsieur Lazhar,97,117,art_house|international
79,Mafioso,96,50,art_house|international
80,Maria Full of Grace,97,144,art_house|international
81,Hero,95,205,art_house|international
82,An Education,95,189,art_house|international
83,Nostalgia for the Light,100,45,art_house|international
84,Amour,93,214,art_house|international
85,L'Avventura,95,43,art_house|international
86,The Look of Silence,96,129,art_house|international
87,Rivers and Tides: Andy Goldsworthy Working With Time,99,71,art_house|international
88,Moolaadé,99,73,art_house|international
89,The Class,95,155,art_house|international
90,The Man Without a Past,98,98,art_house|international
91,The Twilight Samurai,99,69,art_house|international
92,The Kid with a Bike,96,128,art_house|international
93,This Is Not a Film,97,98,art_house|international
94,Rififi,94,48,art_house|international
95,The Secret World of Arrietty,95,146,art_house|international
96,Elle,91,229,art_house|international
97,District 9,90,307,art_house|international
98,Ernest & Célestine,97,77,art_house|international
99,"Sex, Lies, and Videotape",96,47,art_house|international
100,The Red Turtle,93,157,art_house|international
1,The Wizard of Oz,98,111,classics
2,Citizen Kane,100,80,classics
3,The Third Man,99,78,classics
4,The Cabinet of Dr. Caligari,100,50,classics
5,All About Eve,100,65,classics
6,Metropolis,99,118,classics
7,It Happened One Night,98,54,classics
8,Modern Times,100,54,classics
9,Casablanca,97,77,classics
10,La Grande illusion,97,66,classics
11,Singin' in the Rain,100,50,classics
12,Psycho,97,89,classics
13,Laura,100,60,classics
14,A Hard Day's Night,98,106,classics
15,King Kong,98,56,classics
16,"Nosferatu, a Symphony of Horror",97,62,classics
17,Snow White and the Seven Dwarfs,98,47,classics
18,The Adventures of Robin Hood,100,45,classics
19,Repulsion,100,60,classics
20,North by Northwest,99,72,classics
21,Sunset Boulevard,98,61,classics
22,Rear Window,100,64,classics
23,The Bride of Frankenstein,100,43,classics
24,The Philadelphia Story,100,56,classics
25,Touch of Evil,96,74,classics
26,Seven Samurai,100,58,classics
27,All Quiet on the Western Front,100,42,classics
28,12 Angry Men,100,50,classics
29,The Treasure of the Sierra Madre,100,45,classics
30,A Streetcar Named Desire,98,56,classics
31,Vertigo,96,71,classics
32,The 400 Blows,100,55,classics
33,Rebecca,100,51,classics
34,Lawrence of Arabia,98,80,classics
35,Rosemary's Baby,99,69,classics
36,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,99,76,classics
37,Frankenstein,100,46,classics
38,Rashômon,98,52,classics
39,On the Waterfront,98,62,classics
40,The Grapes of Wrath,100,44,classics
41,The Big Sleep,97,59,classics
42,Roman Holiday,98,53,classics
43,The Lady Vanishes,98,41,classics
44,The Last Picture Show,100,51,classics
45,Cool Hand Luke,100,49,classics
46,The Leopard,100,46,classics
47,Chinatown,98,64,classics
48,Battleship Potemkin,100,45,classics
49,The Searchers,100,42,classics
50,Anatomy of a Murder,100,42,classics
51,Invasion of the Body Snatchers,98,56,classics
52,Gone With the Wind,92,89,classics
53,An American in Paris,95,62,classics
54,The Gold Rush,100,43,classics
55,The 39 Steps,96,46,classics
56,The Red Shoes,96,55,classics
57,Rio Bravo,100,40,classics
58,Sweet Smell of Success,98,48,classics
59,To Be or Not to Be,98,42,classics
60,Mary Poppins,100,48,classics
61,The African Queen,98,42,classics
62,City Lights,98,45,classics
63,Miracle on 34th Street,96,47,classics
64,2001: A Space Odyssey,93,98,classics
65,His Girl Friday,98,47,classics
66,It's a Wonderful Life,93,74,classics
67,Night of the Living Dead,97,64,classics
68,The French Connection,98,55,classics
69,The Passion of Joan of Arc,98,45,classics
70,Throne of Blood,98,42,classics
71,Badlands,98,52,classics
72,The Manchurian Candidate,98,54,classics
73,Gentlemen Prefer Blondes,98,40,classics
74,Freaks,94,53,classics
75,The Birth of a Nation,98,40,classics
76,Spartacus,96,54,classics
77,Forbidden Planet,98,42,classics
78,The Best Years of Our Lives,96,48,classics
79,101 Dalmatians,98,46,classics
80,Goldfinger,97,60,classics
81,Paths of Glory,95,55,classics
82,Bringing Up Baby,95,42,classics
83,Some Like It Hot,96,54,classics
84,Duck Soup,94,47,classics
85,Fantasia,96,50,classics
86,Sunrise: A Song of Two Humans,98,51,classics
87,The Day the Earth Stood Still,94,54,classics
88,Ran,96,80,classics
89,Rebel Without a Cause,96,49,classics
90,Peeping Tom,96,49,classics
91,A Fistful of Dollars,98,47,classics
92,The Lord of the Rings: The Two Towers,95,250,classics
93,The Apartment,94,62,classics
94,The Birds,96,52,classics
95,The Young Girls of Rochefort,98,40,classics
96,One Flew Over the Cuckoo's Nest,94,68,classics
97,The Bridge on the River Kwai,94,54,classics
98,Dr. No,96,54,classics
99,Mean Streets,96,53,classics
100,Don't Look Now,96,53,classics
1,Lady Bird,99,349,comedy
2,BlacKkKlansman,95,371,comedy
3,Coco,97,308,comedy
4,It Happened One Night,98,54,comedy
5,Modern Times,100,54,comedy
6,Paddington 2,100,216,comedy
7,The Big Sick,98,274,comedy
8,Eighth Grade,99,232,comedy
9,Singin' in the Rain,100,50,comedy
10,A Hard Day's Night,98,106,comedy
11,La La Land,91,414,comedy
12,The Philadelphia Story,100,56,comedy
13,Toy Story 2,100,163,comedy
14,Zootopia,97,268,comedy
15,Up,98,290,comedy
16,"Three Billboards Outside Ebbing, Missouri",91,363,comedy
17,Toy Story 3,98,299,comedy
18,Finding Nemo,99,262,comedy
19,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,99,76,comedy
20,The Death of Stalin,96,228,comedy
21,Roman Holiday,98,53,comedy
22,Toy Story,100,81,comedy
23,The LEGO Movie,96,240,comedy
24,Ant-Man and the Wasp,88,364,comedy
25,Crazy Rich Asians,91,304,comedy
26,Monty Python and the Holy Grail,97,73,comedy
27,Paterson,96,241,comedy
28,Sorry to Bother You,93,263,comedy
29,The Gold Rush,100,43,comedy
30,Shaun the Sheep Movie,99,160,comedy
31,La Dolce Vita,97,58,comedy
32,To Be or Not to Be,98,42,comedy
33,Mary Poppins,100,48,comedy
34,City Lights,98,45,comedy
35,Birdman,91,331,comedy
36,Love & Friendship,97,196,comedy
37,Playtime,100,44,comedy
38,The Disaster Artist,91,307,comedy
39,Annie Hall,97,71,comedy
40,The Discreet Charm Of The Bourgeoisie,98,50,comedy
41,The Artist,95,304,comedy
42,His Girl Friday,98,47,comedy
43,Ratatouille,96,246,comedy
44,The Rules of the Game,98,45,comedy
45,Tampopo,100,51,comedy
46,Isle of Dogs,89,314,comedy
47,The Incredibles,97,239,comedy
48,Gentlemen Prefer Blondes,98,40,comedy
49,The Nice Guys,92,292,comedy
50,Yellow Submarine,97,59,comedy
51,Paddington,98,151,comedy
52,Spy,94,244,comedy
53,Chicken Run,97,170,comedy
54,Logan Lucky,92,256,comedy
55,Hunt for the Wilderpeople,96,185,comedy
56,101 Dalmatians,98,46,comedy
57,Airplane!,97,61,comedy
58,Ghostbusters,97,71,comedy
59,Bringing Up Baby,95,42,comedy
60,Big,97,74,comedy
61,Some Like It Hot,96,54,comedy
62,Duck Soup,94,47,comedy
63,The Player,98,62,comedy
64,Don't Think Twice,98,131,comedy
65,"Monsters, Inc.",96,193,comedy
66,The Lego Batman Movie,90,289,comedy
67,Monty Python's Life of Brian,97,60,comedy
68,The Grand Budapest Hotel,91,285,comedy
69,Sideways,96,227,comedy
70,The Apartment,94,62,comedy
71,Back to the Future,96,77,comedy
72,The Edge of Seventeen,95,192,comedy
73,Groundhog Day,96,77,comedy
74,What We Do In The Shadows,96,170,comedy
75,Tangerine,97,144,comedy
76,Bull Durham,97,66,comedy
77,Who Framed Roger Rabbit,97,63,comedy
78,Moonrise Kingdom,93,244,comedy
79,Anomalisa,92,255,comedy
80,Lost In Translation,95,228,comedy
81,Enough Said,95,182,comedy
82,Broadcast News,98,45,comedy
83,The Taste of Others,100,58,comedy
84,The Muppets,95,220,comedy
85,The Band's Visit,98,116,comedy
